layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window
emb,enact,report,24,0.054,0.001,0.054,0.0008,0.0,0.0,0.0,1.0,0,0
emb,enact,exit,24,-0.2317,0.0,-0.2317,0.0,0.0,0.0,0.0,1.0,0,0
emb,enact,true,24,-0.1504,0.02,-0.1504,0.015,0.0,0.0,0.0,1.0,0,0
emb,enact,neutral,24,0.2406,0.0128,0.2406,0.0118,0.0,0.0,0.0,1.0,0,0
emb,report,exit,24,-0.2856,0.0,-0.2856,0.0,0.0,0.0,0.0,1.0,0,0
emb,report,neutral,24,0.1866,0.0356,0.1866,0.0364,0.0,0.0,0.0,1.0,0,0
emb,exit,neutral,24,0.4722,0.0,0.4722,0.0,0.0,0.0,0.0,1.0,0,0
emb,true,neutral,24,0.391,0.0,0.391,0.0,0.0,0.0,0.0,1.0,0,0
emb,enact,enact_norecord,24,-0.4973,0.0008,-0.4973,0.0006,0.0,0.0,0.0,1.0,0,0
emb,enact_norecord,neutral,24,0.7379,0.0008,0.7379,0.0,0.0,0.0,0.0,1.0,0,0
0,enact,report,24,-0.2095,0.0,0.054,0.0016,-0.2634,-0.1212,0.1212,0.0,1,0
0,enact,exit,24,-0.8123,0.0,-0.2317,0.0,-0.5807,-0.25,0.2479,0.0,1,0
0,enact,true,24,-0.203,0.0108,-0.1504,0.0152,-0.0526,-0.1281,0.1264,0.4312,0,0
0,enact,neutral,24,0.5978,0.0,0.2406,0.009,0.3572,-0.1975,0.1993,0.0,1,0
0,report,exit,24,-0.6029,0.0,-0.2856,0.0,-0.3172,-0.158,0.1638,0.0,1,0
0,report,neutral,24,0.8072,0.0,0.1866,0.0362,0.6206,-0.2889,0.2867,0.0,1,0
0,exit,neutral,24,1.4101,0.0,0.4722,0.0,0.9379,-0.411,0.3997,0.0,1,0
0,true,neutral,24,0.8008,0.0,0.391,0.0,0.4098,-0.1982,0.205,0.0,1,0
0,enact,enact_norecord,24,-0.6556,0.0,-0.4973,0.0,-0.1583,-0.2418,0.2452,0.2134,0,0
0,enact_norecord,neutral,24,1.2534,0.0,0.7379,0.0004,0.5155,-0.3618,0.366,0.0038,1,0
1,enact,report,24,-0.2311,0.0016,0.054,0.0002,-0.285,-0.1602,0.1656,0.0002,1,0
1,enact,exit,24,-0.7791,0.0,-0.2317,0.0,-0.5474,-0.2503,0.2477,0.0,1,0
1,enact,true,24,-0.2111,0.006,-0.1504,0.014,-0.0606,-0.1163,0.1148,0.3194,0,0
1,enact,neutral,24,0.4725,0.0,0.2406,0.0102,0.2319,-0.1686,0.1673,0.003,1,0
1,report,exit,24,-0.5481,0.0,-0.2856,0.0,-0.2624,-0.1429,0.1478,0.0,1,0
1,report,neutral,24,0.7035,0.0,0.1866,0.032,0.5169,-0.2849,0.2872,0.0,1,0
1,exit,neutral,24,1.2516,0.0,0.4722,0.0,0.7793,-0.3587,0.3704,0.0,1,0
1,true,neutral,24,0.6835,0.0,0.391,0.0002,0.2925,-0.1973,0.1933,0.0014,1,0
1,enact,enact_norecord,24,-0.1836,0.0888,-0.4973,0.0006,0.3138,-0.2849,0.285,0.0312,1,0
1,enact_norecord,neutral,24,0.656,0.0,0.7379,0.0008,-0.0819,-0.3371,0.3277,0.6424,0,0
2,enact,report,24,-0.0763,0.2274,0.054,0.0004,-0.1302,-0.1219,0.1194,0.0376,1,0
2,enact,exit,24,-0.7279,0.0,-0.2317,0.0,-0.4963,-0.2309,0.2264,0.0,1,0
2,enact,true,24,-0.1116,0.1264,-0.1504,0.0138,0.0389,-0.118,0.1213,0.535,0,0
2,enact,neutral,24,0.3628,0.0006,0.2406,0.0112,0.1222,-0.1574,0.1559,0.144,0,0
2,report,exit,24,-0.6517,0.0,-0.2856,0.0,-0.366,-0.1765,0.1791,0.0,1,0
2,report,neutral,24,0.4391,0.0004,0.1866,0.0344,0.2525,-0.2091,0.2178,0.0186,1,0
2,exit,neutral,24,1.0907,0.0,0.4722,0.0,0.6185,-0.3259,0.3178,0.0,1,0
2,true,neutral,24,0.4743,0.0002,0.391,0.0,0.0833,-0.145,0.1452,0.2874,0,0
2,enact,enact_norecord,24,-1.0298,0.0,-0.4973,0.0004,-0.5325,-0.321,0.3251,0.0008,1,0
2,enact_norecord,neutral,24,1.3926,0.0,0.7379,0.0004,0.6547,-0.4344,0.4329,0.0004,1,0
3,enact,report,24,-0.0776,0.198,0.054,0.0006,-0.1316,-0.1194,0.1226,0.0336,1,0
3,enact,exit,24,-0.7146,0.0,-0.2317,0.0,-0.4829,-0.2177,0.2193,0.0,1,0
3,enact,true,24,-0.073,0.3192,-0.1504,0.0122,0.0774,-0.1275,0.125,0.2478,0,0
3,enact,neutral,24,0.3599,0.0004,0.2406,0.0104,0.1194,-0.157,0.1586,0.139,0,0
3,report,exit,24,-0.637,0.0,-0.2856,0.0,-0.3514,-0.1657,0.1707,0.0,1,0
3,report,neutral,24,0.4375,0.0002,0.1866,0.0342,0.2509,-0.1972,0.1986,0.0102,1,0
3,exit,neutral,24,1.0745,0.0,0.4722,0.0,0.6023,-0.3126,0.3166,0.0002,1,0
3,true,neutral,24,0.4329,0.0006,0.391,0.0,0.0419,-0.1562,0.1575,0.6236,0,0
3,enact,enact_norecord,24,-1.2406,0.0,-0.4973,0.0008,-0.7433,-0.4058,0.4014,0.0,1,0
3,enact_norecord,neutral,24,1.6005,0.0,0.7379,0.0004,0.8627,-0.4955,0.5004,0.0002,1,0
4,enact,report,24,0.1038,0.0478,0.054,0.0004,0.0498,-0.089,0.0922,0.2864,0,0
4,enact,exit,24,-1.3585,0.0,-0.2317,0.0,-1.1268,-0.4884,0.4944,0.0,1,0
4,enact,true,24,-0.2743,0.0004,-0.1504,0.0164,-0.1239,-0.1193,0.1223,0.044,1,0
4,enact,neutral,24,0.3663,0.001,0.2406,0.0104,0.1257,-0.1511,0.1526,0.1086,0,0
4,report,exit,24,-1.4623,0.0,-0.2856,0.0,-1.1766,-0.4975,0.4832,0.0,1,0
4,report,neutral,24,0.2625,0.0148,0.1866,0.0338,0.0759,-0.1559,0.158,0.3512,0,0
4,exit,neutral,24,1.7248,0.0,0.4722,0.0,1.2525,-0.5583,0.5445,0.0,1,0
4,true,neutral,24,0.6406,0.0,0.391,0.0,0.2496,-0.1474,0.1436,0.0002,1,0
4,enact,enact_norecord,24,-0.7488,0.0,-0.4973,0.0006,-0.2515,-0.2843,0.295,0.0976,0,0
4,enact_norecord,neutral,24,1.1151,0.0,0.7379,0.0004,0.3772,-0.3448,0.3508,0.0302,1,0
5,enact,report,24,0.2581,0.0,0.054,0.001,0.2041,-0.0965,0.1031,0.0,1,0
5,enact,exit,24,-0.9364,0.0,-0.2317,0.0,-0.7047,-0.3168,0.3119,0.0,1,0
5,enact,true,24,-0.1419,0.0058,-0.1504,0.0132,0.0086,-0.1002,0.1027,0.8682,0,0
5,enact,neutral,24,0.2904,0.0016,0.2406,0.0112,0.0499,-0.1573,0.1524,0.542,0,0
5,report,exit,24,-1.1945,0.0,-0.2856,0.0,-0.9089,-0.3895,0.3863,0.0,1,0
5,report,neutral,24,0.0323,0.6774,0.1866,0.0316,-0.1543,-0.1703,0.1628,0.0698,0,0
5,exit,neutral,24,1.2268,0.0,0.4722,0.0002,0.7546,-0.3724,0.3814,0.0,1,0
5,true,neutral,24,0.4323,0.0,0.391,0.0,0.0413,-0.1228,0.1132,0.5278,0,0
5,enact,enact_norecord,24,-0.7421,0.0,-0.4973,0.0008,-0.2448,-0.2929,0.2901,0.1062,0,0
5,enact_norecord,neutral,24,1.0325,0.0,0.7379,0.0004,0.2946,-0.3483,0.3574,0.1048,0,0
6,enact,report,24,0.0258,0.3946,0.054,0.0008,-0.0282,-0.0551,0.0566,0.3306,0,0
6,enact,exit,24,-0.8764,0.0,-0.2317,0.0,-0.6447,-0.2817,0.2844,0.0,1,0
6,enact,true,24,-0.1528,0.0142,-0.1504,0.0152,-0.0024,-0.1082,0.1043,0.9658,0,0
6,enact,neutral,24,0.3262,0.0,0.2406,0.0102,0.0856,-0.1389,0.1383,0.2336,0,0
6,report,exit,24,-0.9022,0.0,-0.2856,0.0,-0.6165,-0.2615,0.266,0.0,1,0
6,report,neutral,24,0.3004,0.0004,0.1866,0.0384,0.1138,-0.1426,0.1453,0.1258,0,0
6,exit,neutral,24,1.2026,0.0,0.4722,0.0,0.7303,-0.36,0.3531,0.0,1,0
6,true,neutral,24,0.479,0.0,0.391,0.0,0.088,-0.1109,0.1099,0.135,0,0
6,enact,enact_norecord,24,-0.363,0.0,-0.4973,0.0012,0.1343,-0.2519,0.2561,0.316,0,0
6,enact_norecord,neutral,24,0.6892,0.0,0.7379,0.0004,-0.0487,-0.2973,0.2863,0.7574,0,0
7,enact,report,24,0.0428,0.1474,0.054,0.0006,-0.0112,-0.0542,0.0523,0.69,0,0
7,enact,exit,24,-0.4235,0.0,-0.2317,0.0,-0.1918,-0.1069,0.1077,0.0,1,0
